,name,overview,serviceFocus,industryFocus,education,barAdmissions,courtAdmissions,recognitions,affiliations
0,Julia W. Clark,"Julia Clark represents employers in workplace law disputes – including defending against claims of harassment, discrimination, and retaliation – and helps them comply with a wide range of federal and state employment laws and agency regulations. She also assists in developing employee handbooks, policies, and procedures. With a decade of experience practicing employment law in the Philadelphia market, Julia has been on both sides of the table, having previously served as lead plaintiffs’ counsel in numerous employment discrimination and wage and hour matters in Pennsylvania and New Jersey federal and state courts, as well as before the EEOC and PHRC. She has tried numerous cases to verdict in both jury and non-jury trials and her comprehensive perspective lends valuable insight into case strategies and tactics, from discovery through trials and appeals. Julia graduated cum laude from the Earle Mack School of Law at Drexel University, where she was a Dean’s Scholarship recipient and taught constitutional law classes in Philadelphia public high schools and, as a teaching fellow for the Marshall Brennan Constitutional Literacy Project, coached students to compete in city-wide and national moot court competitions. After law school, Julia completed a year-long internship with the Delaware County District Attorney’s Office before starting her employment law practice.","['Counseling and Advice', 'Employment Discrimination and Harassment', 'Litigation and Trials']",['Financial Services'],"['J.D., 2011, cum laude, Drexel University, Thomas R. Kline School of Law', 'B.S., 2007, cum laude, Tulane University']","['New Jersey', 'Pennsylvania']","['U.S. Court of Appeals for the Third Circuit', 'U.S. District Court for the District of New Jersey', 'U.S. District Court for the Eastern District of Pennsylvania', 'U.S. District Court for the Middle District of Pennsylvania', 'U.S. District Court for the Western District of Pennsylvania']",['null'],['null']
1,Megan F. Clark,"Megan Clark is an associate in Fisher Phillips’ San Francisco office. A significant portion of her practice is devoted to providing clients with day-to-day counseling and preventive advice regarding hiring, discipline, leaves of absence, workplace investigations, personnel policies and termination. Megan also frequently advises employers on best practices for reductions in force and compliance with the federal and California Worker Adjustment and Retraining Notification (WARN) Act. Megan also represents employers in litigation involving claims of discrimination, retaliation, harassment, wage and hour law violations, failure to provide reasonable accommodation, federal and state leave of absence law violations, and wrongful termination. She has extensive experience handling all aspects of litigation, from discovery and depositions through dispositive motions, settlement negotiations and trial preparation. Megan also regularly represents clients against charges filed with the Equal Employment Opportunity Commission (EEOC) and California’s Department of Fair Employment and Housing (DFEH). From 2019-2023, Megan has been selected as a Super Lawyers Rising Star – an honor awarded to no more than 2.5 percent of the lawyers in California.","['Counseling and Advice', 'Employment Discrimination and Harassment', 'Employee Leaves and Accommodations', 'Litigation and Trials', 'Reductions in Force (RIFs)']",['Financial Services'],"['J.D., 2014, University of California, Hastings College of the Law', 'B.A., 2011, summa cum laude, University of California, Santa Barbara']",['California'],"['U.S. Court of Appeals for the Third Circuit', 'U.S. District Court for the District of New Jersey', 'U.S. District Court for the Eastern District of Pennsylvania', 'U.S. District Court for the Middle District of Pennsylvania', 'U.S. District Court for the Western District of Pennsylvania']",['Super Lawyers Rising Star (2019-2023)'],['null']
2,Jerry Paul Cline,"Jerry Cline is Of Counsel in the firm's Cleveland office. He defends employers in both Ohio and federal courts in cases involving employment disputes under Title VII, Age Discrimination in Employment Act (ADEA), Americans with Disabilities (ADA) and  Office of Clients' Rights Advocacy (OCRA) discrimination, Fair Labor Standards Act (FLSA), Family and Medical Leave Act (FMLA), Health Insurance Portability and Accountability Act (HIPAA), Occupational Safety and Health Administration (OSHA) and Ohio workers’ compensation laws. In addition, Jerry has extensive experience defending employers at the administrative level, and has practiced before the Ohio Civil Rights Commission (OCRC), Equal Employment Opportunity Commission (EEOC), Ohio Department of Job and Family Services (ODJFS), Ohio Bureau of Workers' Compensation (BWC), the Industrial Commission of Ohio, Occupational Safety and Health Administration (OSHA) and the National Labor Relations Board (NLRB). Jerry is often called on by Human Resource departments when faced with a broad range of issues, including employment discrimination, harassment, retaliation, whistleblower actions, prevailing wage disputes, NLRB charges, unemployment issues, and workers’ compensation retaliation claims. His extensive experience and ability to understand unique and complex businesses allows him to create effective employment contracts and handbooks to protect the rights of business owners through northeast Ohio.","['Litigation and Trials', ""Workers' Compensation and Unemployment Cost Management"", 'Workplace Safety and Catastrophe Management']",['Financial Services'],"['J.D., 2002, Capital University Law School', 'B.A., 1993, Rutgers University']",['Ohio'],"['Ohio Supreme Court', 'U.S. Court of Appeals for the Sixth Circuit', 'U.S. District Court for the Northern District of Ohio']","['Member, American Bar Association', 'Member, Ohio State Bar Association', 'Member, Cleveland Metropolitan Bar Association', 'Vice President & Board of Trustees, North Coast Chamber of Commerce', 'Board Representative, Power of More Westside Chambers of Commerce', 'Member, SME Cleveland', 'Board of Trustees, Hunt Club Homeowners’ Association, Avon Lake, OH', 'Member, Saint Joseph Catholic Church, Avon Lake, OH', 'Member, Cleveland Donauschwaben, Olmsted Falls, OH']",['null']
3,Sheyron B. Cobb,"Shéy Cobb represents businesses in all phases of employment-related litigation and mediation. Before joining Fisher Phillips, Shéy practiced civil litigation in Los Angeles, where she defended insurers and other businesses in negligence, tort, and professional liability suits and government agencies in employment actions. She also has experience in securities, credit card industry antitrust litigation, and contract disputes. A graduate of Washington University in St. Louis School of Law, Shéy was accepted into the prestigious New York Regulatory and Business Externship program through which she worked as a student attorney in the Business and Legal Affairs Department of an American multinational music company.",['Litigation and Trials'],['Financial Services'],"['J.D., 2018, Washington University in St. Louis School of Law', 'B.A., 2013, University of California, San Diego']",['California'],"['Ohio Supreme Court', 'U.S. Court of Appeals for the Sixth Circuit', 'U.S. District Court for the Northern District of Ohio']","['National Association of Minority and Women Owned Law Firms (NAMWOLF), Member', 'Black Women Lawyer’s Association of Los Angeles, Member', 'Langston Bar Association, Member']",['null']
4,Brandy Cody,"Brandy Cody is a partner and handles litigation throughout California and Oregon. She has extensive experience in defending both single plaintiff and complex class action wage and hour cases and a successful track record in defending joint employment and misclassification claims Brandy also represents employers in all aspects of traditional employment law and litigation, including wrongful termination, harassment, retaliation, discrimination, contract disputes. She has successfully tried bench and jury trials including workplace issues of all types. Brandy also regularly provides advice, counseling and training to employers on various workplace matters, including family and medical leave, paid sick leave, discipline, termination, wage and hour compliance and the implementation and use of compliant personnel policies and procedures in an ever-evolving workplace environment. Prior to joining Fisher Phillips Brandy was a partner at a niche California labor and employment law firm.","['Litigation and Trials', 'Wage and Hour', 'Employment Discrimination and Harassment', 'Counseling and Advice']","['Gig Economy', 'Healthcare', 'Supply Chain', 'Transportation and Supply Chain']","['J.D., 2018, Washington University in St. Louis School of Law', 'B.A., 2013, University of California, San Diego']",['California'],"['Ohio Supreme Court', 'U.S. Court of Appeals for the Sixth Circuit', 'U.S. District Court for the Northern District of Ohio']","['Obtained a defense verdict and zero damages for a Fortune 50 company on a complex multi-party wage and hour action alleging joint employment liability.', 'Successfully defeated class certification various wage and hour\xa0class action cases in\xa0a variety\xa0an\xa0assortment\xa0of industries including retail, health care, quick service and hospitality businesses.', 'Obtained summary judgment in favor of an employer in a hotly contested sexual harassment case, resulting in a\xa0six-figure\xa0fee award in favor of the employer.', 'Obtained a complete defense verdict in favor of an employer in a retaliation/race discrimination case.', 'Obtained a rarely granted summary judgment in sensitive case for a high profile non-profit entity involving allegations of sexual abuse by a former employee.']","['J.D., 1998, University of San Diego School of Law', 'B.A., 1995, University of California, San Diego', 'California', 'Oregon', 'U.S. District Court for the Eastern District of California', 'U.S. District Court for the Northern District of California', 'U.S. District Court for the Southern District of California']"
5,J. Randall Coffey,"Randy Coffey is a partner in the firm's Kansas City office. He devotes his practice to the representation of management in labor and employment matters, defending employers in state and federal courts throughout the United States. Randy has litigated numerous multi-plaintiff and class-action cases alleging discrimination and wage and hour violations, as well as cases brought by individual plaintiffs. He has tried over 30 cases. Randy also provides representation before state and federal administrative agencies, including the Equal Employment Opportunity Commission (EEOC), the National Labor Relations Board (NLRB), and the Occupational Safety and Health Administration (OSHA). His experience also includes traditional labor representation, such as labor arbitrations, NLRB proceedings, and union avoidance efforts. He routinely consults with and counsels clients concerning employment-related matters ranging from application of the Family and Medical Leave Act (FMLA) to the discharge of employees. After graduating from law school, Randy served as a Law Clerk to the Honorable Pasco M. Bowman on the United States Court of Appeals for the Eighth Circuit. He is ""AV"" Peer Review Rated by Martindale-Hubbell, he is listed in Chambers USA, America's Leading Business Lawyers and in The Best Lawyers in America, including being named as Lawyer of the Year for Labor and Employment Litigation in 2016 and 2018. In 2010 Randy was inducted as a Fellow into The College of Labor and Employment Lawyers. Election as a Fellow is the highest recognition by an attorney's colleagues of sustained outstanding performance in the profession, exemplifying integrity, dedication, and excellence.  Randy previously served as the Management Chair of the American Bar Association’s Equal Employment Opportunity Committee, and currently serves as a Council Member for the ABA's Labor and Employment Law Section. He also is a member of the Advisory Board for the American Employment Law Council.","['Class and Collective Actions', 'Counseling and Advice', 'Data Security and Workplace Privacy', 'Employment Discrimination and Harassment', 'Litigation and Trials', 'Wage and Hour', 'Workplace Safety and Catastrophe Management']",['Aviation'],"['J.D., 1985, magna cum laude, Order of the Coif, Washington & Lee University School of Law', 'B.A., 1982, cum laude, Vanderbilt University']","['Kansas', 'Missouri']","['U.S. Court of Appeals for the Eighth Circuit', 'U.S. Court of Appeals for the Eleventh Circuit', 'U.S. Court of Appeals for the Fifth Circuit', 'U.S. Court of Appeals for the Fourth Circuit', 'U.S. Court of Appeals for the Seventh Circuit', 'U.S. Court of Appeals for the Tenth Circuit', 'U.S. District Court for the District of Kansas', 'U.S. District Court for the District of Nebraska', 'U.S. District Court for the Eastern District of Missouri', 'U.S. District Court for the Eastern District of Oklahoma', 'U.S. District Court for the Northern District of Oklahoma', 'U.S. District Court for the Southern District of Indiana', 'U.S. District Court for the Western District of Missouri', 'U.S. District Court for the Western District of Oklahoma', 'U.S. Supreme Court']","['Recognized in The Best Lawyers in America (2013 – 2024)', 'Chambers USA, Labor & Employment (2015 – 2023)', 'Named, Best Lawyers ""Lawyer of the Year"", Litigation - Labor and Employment (2021)', 'Selected for\xa0Missouri and Kansas Super Lawyers\xa0']",[]
6,Tillman Y. Coffey,"Tillman Coffey is a partner in the firm's Atlanta office. He joined the legal profession with 15 years of real world experience working in jobs ranging from supervisor in a lead smelter blast furnace to working as a cloth spreader in a garment factory. This experience has been an invaluable tool in understanding employees, workplace issues, and in providing practical advice. Tillman's practice focuses on the defense of employment discrimination complaints in court and before the Equal Employment Opportunity Commission (EEOC) and various state commissions. Tillman also advises clients on the preventive measures they can take to minimize liability. In addition, Tillman provides training to management and speaks to groups and associations on many labor and employment law topics, including effective hiring, discipline and discharge, disability law, sexual harassment, wage and hour law, and family and medical leave.","['Employee Defection and Trade Secrets', 'Employment Discrimination and Harassment', 'Wage and Hour', 'Counseling and Advice']",['Automotive Dealership'],"['J.D., 1992, cum laude, University of Tennessee College of Law', 'B.S., 1989, summa cum laude, Middle Tennessee State University']",['Georgia'],"['U.S. Court of Appeals for the Eighth Circuit', 'U.S. Court of Appeals for the Eleventh Circuit', 'U.S. Court of Appeals for the Fifth Circuit', 'U.S. Court of Appeals for the Fourth Circuit', 'U.S. Court of Appeals for the Seventh Circuit', 'U.S. Court of Appeals for the Tenth Circuit', 'U.S. District Court for the District of Kansas', 'U.S. District Court for the District of Nebraska', 'U.S. District Court for the Eastern District of Missouri', 'U.S. District Court for the Eastern District of Oklahoma', 'U.S. District Court for the Northern District of Oklahoma', 'U.S. District Court for the Southern District of Indiana', 'U.S. District Court for the Western District of Missouri', 'U.S. District Court for the Western District of Oklahoma', 'U.S. Supreme Court']","['Chambers USA, Labor & Employment (2022)']",['null']
7,Kendall Cole,"Kendall Cole defends employers in a variety of employment issues, including wage and hour, discrimination, harassment, and retaliation claims. While in law school, Kendall interned at her school’s Appellate Clinic, where she litigated a case in the U.S. Court of Appeals for the Ninth Circuit and participated in oral argument before a panel of Ninth Circuit Judges, resulting in a favorable outcome for her client. Kendall also served as an Editor for the San Diego International Law Journal and judicial extern for the Honorable Judge Thomas Delaney. Prior to joining Fisher Phillips, Kendall obtained valuable legal experience working at a midsized insurance defense firm. Kendall joined Fisher Phillips as an associate after working as a summer associate here in 2021.",['Litigation and Trials'],['Automotive Dealership'],"['J.D., 2022, University of San Diego School of Law', 'B.A., 2019, Brandman University, Chapman University System']",['California'],"['U.S. Court of Appeals for the Eighth Circuit', 'U.S. Court of Appeals for the Eleventh Circuit', 'U.S. Court of Appeals for the Fifth Circuit', 'U.S. Court of Appeals for the Fourth Circuit', 'U.S. Court of Appeals for the Seventh Circuit', 'U.S. Court of Appeals for the Tenth Circuit', 'U.S. District Court for the District of Kansas', 'U.S. District Court for the District of Nebraska', 'U.S. District Court for the Eastern District of Missouri', 'U.S. District Court for the Eastern District of Oklahoma', 'U.S. District Court for the Northern District of Oklahoma', 'U.S. District Court for the Southern District of Indiana', 'U.S. District Court for the Western District of Missouri', 'U.S. District Court for the Western District of Oklahoma', 'U.S. Supreme Court']","['Honors, University of San Diego School of Law Appellate Clinic']",['null']
8,Patrick J. Collopy,"Patrick Collopy represents businesses in workplace-related disputes and counsels on all aspects of their employment relationship.  He regularly advises private and public-sector employers on a variety of matters, including employment policies, wage and hour claims, discrimination, harassment, wrongful termination, and other employment-related matters.  As a member of the firm’s Labor Relations Group, Patrick represents employers in labor matters relating to union organizing, unfair labor practices, collective bargaining, and grievance arbitrations. Patrick has significant experience litigating on behalf of national and international employers, municipalities, and regional and local businesses, in state and federal courts across the country, as well as before administrative agencies. As a Certified Information Privacy Professional, he works with colleagues in the Firm’s Data Security and Privacy practice to help employers with cybersecurity breaches and privacy litigation, privacy compliance issues, and developing cybersecurity policies and protocols.  Before joining Fisher Phillips, Patrick practiced employment law in New York City with an emphasis on class and collective actions.  Patrick earned his bachelor’s degree from Fordham University and his law degree from Brooklyn Law School. ","['Counseling and Advice', 'Data Security and Workplace Privacy', 'Labor Relations', 'Litigation and Trials']",['Automotive Dealership'],"['J.D., 2016, Brooklyn Law School', 'B.A., 2009, Fordham University']","['Colorado', 'District of Columbia', 'New York']","['U.S. District Court for the District of Colorado', 'U.S. District Court for the Southern District of New York', 'U.S. District Court for the Eastern District of New York']","['“Rising Star,” Employment & Labor Law, New York Metro Super Lawyers (2021)']","['International Association of Privacy Professionals', 'American Bar Association, Forum on the Entertainment and Sports Industry']"
9,Theresa M. Connolly,"Theresa M. Connolly is the co-managing partner of the Washington, D.C. Metro offices, where her litigation practice focuses on advising and counseling employers in all employment matters and defending employers in all aspects of workplace litigation including complex trade secret misappropriation cases. She has significant experience representing employers in regards to discrimination claims, harassment, contractor issues, wage and overtime claims, wrongful discharge, contracts, tort actions and injunction proceedings involving non-compete agreements and trade secret misappropriation. Theresa counsels clients in a wide range of labor and employment matters, including the negotiation of employment contracts, drafting and enforcing restrictive covenants, developing personnel policies and practices, workplace restructuring, workplace investigations, litigation avoidance, and compliance with employment-related statutes and programs such as the Age Discrimination in Employment Act (ADEA), the Americans with Disabilities Act (ADA), the Family and Medical Leave Act (FMLA), the Fair Labor Standards Act (FLSA), the Worker Adjustment and Retraining Notification Act (WARN), Title VII of the Civil Rights Act of 1964, and Executive Order 11246. In addition to employment litigation and counseling, Theresa handles traditional labor relations matters such as unfair labor practices, union elections, union arbitration and related proceedings before the National Labor Relations Board. She also provides training sessions for clients to educate managers on the best employment practices in order to manage legal issues.","['Consumer Privacy Team', 'Employee Defection and Trade Secrets', 'Employment Discrimination and Harassment', 'Wage and Hour']",['Automotive Dealership'],"['J.D., 1990, Fordham University School of Law', 'B.S., 1987, Cornell University School of Industrial and Labor Relations']","['District of Columbia', 'Maryland', 'New York', 'Virginia']","['U.S. Court of Appeals for the First Circuit', 'U.S. Court of Appeals for the Fourth Circuit', 'U.S. District Court for the District of Columbia', 'U.S. District Court for the District of Maryland', 'U.S. District Court for the Eastern District of Michigan', 'U.S. District Court for the Eastern District of New York', 'U.S. District Court for the Eastern District of Virginia', 'U.S. District Court for the Northern District of Florida', 'U.S. District Court for the Northern District of New York', 'U.S. District Court for the Southern District of New York', 'U.S. District Court for the Southern District of Texas', 'U.S. District Court for the Western District of Virginia']","['Recognized in The Best Lawyers in America (2021 - 2024)', 'Chambers USA, Labor & Employment (2004 – 2023)', 'Listed in Lawdragon’s 500 Leading U.S. Corporate Employment Lawyers (2021, 2022, 2024)', 'ALM’s Legal Leaders: Washington D.C. & Baltimore’s Top Rated Lawyers (2015)', 'Martindale-Hubbell AV Preeminent', 'Rising Star, Virginia Super Lawyers\xa0(2007)', 'Top Management Employment Lawyer, Washingtonian Magazine (2007, 2009)', 'Top Washington Lawyer, Washington Business Journal (2007)', 'Virginia Super Lawyers (2010 - 2017)']","['American Bar Association', 'Maryland Bar Association', 'New York Bar Association', 'Virginia Bar Association', 'District of Columbia Bar']"
