,name,overview,serviceFocus,industryFocus,education,barAdmissions,courtAdmissions,recognitions,affiliations
0,Michael V. Abcarian,"Mike Abcarian is managing partner of the firm's Dallas office. For over 30 years he has represented Fortune 500 corporations, units of local government, and local business interests in labor and employment matters. He has handled hundreds of lawsuits in federal and state courts with an exceptional success record, including lead counsel defense of complex litigation and nationwide class actions. Many of Mike's successful cases resulted in defense verdicts for employer clients following trial by jury. Mike also handles complex workplace safety matters, including fatality investigations, and has represented employers in high-visibility proceedings before the Occupational Safety and Health Administration (OSHA). He has handled significant compensation compliance matters--some involving thousands of employees--in proceedings before the Wage & Hour Division of the U. S. Department of Labor (USDOL). Mike also appears frequently before the Equal Employment Opportunity Commission (EEOC) defending employers in discrimination matters.  He also represents employers before the National Labor Relations Board (NLRB) in union representation proceedings and unfair labor practice proceedings, and in arbitration of labor disputes and labor contract negotiations. Throughout his career, Mike has been a sought-after speaker and a prolific author on labor and employment law issues. He is ""AV"" Peer Review Rated by Martindale-Hubbell for preeminent skill and ethics, and he has been listed in Texas Super Lawyers every year since 2004. Mike has also been listed in Best Lawyers in America since 2012 and was listed in Chambers USA since 2016. In 2018, Mike was inducted as a Fellow into The College of Labor and Employment Lawyers. Election as a Fellow is the highest recognition by an attorney's colleagues of sustained outstanding performance in the profession, exemplifying integrity, dedication and excellence.   ","['Class and Collective Actions', 'Labor Relations', 'Litigation and Trials', 'Workplace Safety and Catastrophe Management', 'Wage and Hour']",['Education'],"['J.D., 1977, Boston College Law School', 'A.B., 1974, with honors, University of California, Berkeley']","['Georgia', 'Texas']","['Florida Supreme Court', 'Georgia Court of Appeals', 'Georgia Supreme Court', 'Texas Supreme Court', 'Texas Courts of Appeals', 'U.S. Court of Appeals for the Eighth Circuit', 'U.S. Court of Appeals for the Fifth Circuit', 'U.S. Court of Appeals for the Seventh Circuit', 'U.S. Court of Appeals for the Tenth Circuit', 'U.S. District Court for the Eastern District of Texas', 'U.S. District Court for the Middle District of Florida', 'U.S. District Court for the Middle District of Georgia', 'U.S. District Court for the Northern District of Georgia', 'U.S. District Court for the Northern District of Texas', 'U.S. District Court for the Southern District of Texas', 'U.S. District Court for the Western District of Texas', 'U.S. Supreme Court']","['Recognized in The Best Lawyers in America (2013 – 2024)', 'Inducted as a Fellow into The College of Labor and Employment Lawyers (2018)', 'Chambers USA (2016-present)', 'Texas Super Lawyers (2005-present)']","['Board Certified in Labor and Employment Law by the Texas Board of Legal Specialization', 'Member, American Bar Association, Labor and Employment Law Section', 'Member, State Bar of Texas, Labor and Employment Law Section', 'Fellow of the American Bar Foundation']"
1,George D. Adams,"George Adams is one of the four founding partners of FP’s Louisville office. For more than 20 years his practice has been exclusively devoted to counseling and representing employers in matters of labor and employment law. George entered the practice of law with many years of private and public sector management experience and as a U.S. Army veteran. George represents employers in disputes before the National Labor Relations Board (NLRB) and other administrative agencies, as well as in labor negotiations and grievance arbitration. This includes defending employers against claims alleging sexual harassment, unlawful discrimination, retaliation, violations of the Family and Medical Leave Act (FMLA), Americans with Disabilities Act (ADA) discrimination, wage and hour violations, and a wide range of other labor and employment claims. More importantly, George uses his years of knowledge and experience to help employers avoid such disputes in the first place through advice and counseling, management training, and drafting and enforcing practical and effective employment policies. He also helps non-union employers avoid becoming targets of union organizing, lawfully and effectively respond to union organizing activity, and defend against unfair labor practice charges. George represents a wide variety of employers, large and small, in Kentucky and across the U.S. These include first tier suppliers to Japanese and other automobile manufacturers, specialty chemical and lubricant manufacturers, specialty food manufacturers, metal flow products manufacturers, and a variety of other manufacturers. George’s clients also include national, regional, and local industrial and commercial construction contractors, road construction contractors, and building material suppliers. He also represents employers in the gig industry, financial industry, health care industry, pharmaceutical fulfillment and management industry, and restaurant industry, and retail specialty consumer electronics industry, as well as spas, private aviation, and non-profit entities. George is a longstanding member of the ABA’s Committee on the Development of the Law Under the National Labor Relations Act and a Chapter Editor of its publication The Developing Labor Law. He is ""AV"" Peer Review Rated by Martindale-Hubbell and has been recognized as a Kentucky Super Lawyer for many years and repeatedly selected by his peers as one of the Best Lawyers in America. Best Lawyers in America has listed George as a Litigation – Labor and Employment Lawyer of the Year.  ","['Labor Relations', 'Litigation and Trials', 'Counseling and Advice']",['Manufacturing'],"['J.D., 2000, cum laude, University of Louisville, Louis D. Brandeis School of Law', 'B.S., 1996, University of Louisville']",['Kentucky'],"['Kentucky Supreme Court', 'U.S. Court of Appeals for the District of Columbia Circuit', 'U.S. Court of Appeals for the Ninth Circuit', 'U.S. Court of Appeals for the Sixth Circuit', 'U.S. District Court for the Eastern District of Kentucky', 'U.S. District Court for the Eastern District of North Carolina', 'U.S. District Court for the Southern District of Indiana', 'U.S. District Court for the Southern District of Texas', 'U.S. District Court for the Western District of Kentucky']","['Recognized in The Best Lawyers in America (2013 – 2024)', '“AV” Peer Review Rate by Martindale-Hubbell', 'Best Lawyers in America, Employment Law – Management, Labor Law – Management and Litigation – Labor and Employment', 'The Best Lawyers in America, Litigation – Labor and Employment Lawyer of the Year', 'Kentucky Super Lawyer ']","['Kentucky Association of Manufacturers, Board of Directors', 'American Bar Association, Labor & Employment Section', 'ABA Committee on the Development of the Law under the National Labor Relations Act', 'Kentucky Bar Association, Labor & Employment Section', 'Louisville Bar Association, Labor & Employment Section', 'Founding Board member, Southern Indiana Society for Human Resource Management', 'Member, Society for Human Resource Management', 'Chapter Editor, The Developing Labor Law', 'Contributing Editor, How Arbitration Works, 6th\xa0Ed.', 'Co-author, Understanding Human Resource Issues and Personnel Law: A Guide to Kentucky and Federal Regulations, 8th\xa0Ed.', 'U.S. Army and Kentucky National Guard, Military Police, including service in Operation Desert Storm (1987-1992)']"
2,Vincent J. Adams,"Vincent Adams is an Of Counsel in the firm's San Francisco office. He has a general litigation background that focuses on matters such as catastrophic injury, wrongful death, construction, and product liability. Vince regularly assists clients with all aspects of civil litigation and vigorously participates in preclaim investigation, discovery practice, drafting dispositive motions, dispute resolution, and trial. Through his varied experience in litigation, he has gained exposure to many areas of the law in and out of a courtroom involving regulatory issues and landlord-tenant disputes. Vince has managed a pre-litigation labor and professional liability hotline for a national insurance carrier designed to evaluate risks of employment decisions and minimize claims by insureds with EPLI, D&O, and E&O policies.  He has provided clients with a full range of services to resolve disputes in state and federal courts, and administrative hearings before the Department of Fair Employment and Housing, Equal Employment Opportunity Commission, and Department of Industrial Relations. Vince collaborates with in-house and national defense counsel to minimize liability exposure during pleading stage, discovery, trial, and beyond to ensure the application of a results-driven litigation approach from jurisdiction-to-jurisdiction.","['Labor Relations', 'Litigation and Trials', 'Counseling and Advice']",['Manufacturing'],"['J.D., 2006, Pepperdine University Caruso School of Law', 'B.A., 2003, University of California, Davis']",['California'],"['U.S. District Court for the Central District of California', 'U.S. District Court for the Northern District of California']",['Selected for inclusion in Rising Stars for Northern California Super Lawyers - 2017'],['Contra Costa Bar Association\xa0']
3,Nazanin Afshar,"Nazanin Afshar is an associate in the firm’s Los Angeles and Woodland Hills offices. Nazanin represents employers and individuals in single-plaintiff, multi-plaintiff, class action matters, and representative lawsuits brought under California’s Private Attorneys General Act (PAGA), involving a variety of issues, such as discrimination, harassment, retaliation, whistleblower allegations, and wage and hour issues. In her practice, Nazanin has represented many clients in mediation and has been trusted with crafting winning strategies that have created favorable results for her clients.   Nazanin also assists her clients in navigating state and federal employment laws, advising them on compliance with wage and hour laws, proper classification of non-exempt/exempt employees and independent contractors, and maintaining up-to-date and compliant handbooks and employment policies to avoid litigation. As a member of the International Practice Group, Nazanin assists clients on various issues related to employees in jurisdictions around the world. She has counseled clients transitioning employees to remote work in over 40 jurisdictions, drafted employment agreements for US-based companies with employees working outside the US, and provided guidance on employment decisions such as investigations and terminations. Nazanin has also assisted with international mediation of employment disputes for companies and individuals alike in Europe and North America. Nazanin has a particular focus on preventing and managing cross border employment disputes. Prior to joining Fisher Phillips, Nazanin gained valuable experience advising a wide range of clients from small businesses to multi-national corporations including a chemical laboratory, a construction company, car dealerships, healthcare companies, manufacturing companies, and restaurants. She has advised clients in employment, professional liability, business litigation, and workers’ compensation matters in addition to circumstances involving employee wrongdoing, including misappropriation of funds and violations of HIPAA. Nazanin has represented employers in state and federal court, and in matters before state agencies such as the California Department of Industrial Relations and the California Department of Fair Employment & Housing – both in litigation and in responding to agency investigative inquiries.","['Class and Collective Actions', 'Employment Discrimination and Harassment', 'International']",['Manufacturing'],"['J.D., 2012, University of California, Hastings College of the Law', 'LL.M., 2012, University of Paris - Panthéon-Assas', 'B.A., 2009, University of California, Los Angeles']",['California'],"['California Courts of Appeal', 'California Superior Court', 'California Supreme Court', 'U.S. District Court for the Central District of California', 'U.S. District Court for the Northern District of California']","['Recognized in The Best Lawyers in America, Ones to Watch (2022 - 2023)']","['Member, American Bar Association']"
4,Mason G. Alexander,"Mason G. Alexander is a partner in the Charlotte office. Mason has practiced labor and employment law exclusively for nearly 30 years, in the areas of union campaigns, sexual harassment, discrimination, wrongful discharge, union avoidance and policy reviews. He is licensed to practice law in the state and federal courts of North Carolina and South Carolina and is certified as a specialist in employment and labor law by the Supreme Court of South Carolina. Furthermore, he is ""AV"" Peer Review Rated by Martindale-Hubbell and has repeatedly been recognized in North Carolina Super Lawyers. He has also been listed in Chambers USA, America's Leading Business Lawyers since 2008 and in The Best Lawyers in America since 2006.","['Employment Discrimination and Harassment', 'Labor Relations', 'Litigation and Trials', 'Reductions in Force (RIFs)']","['Automotive Dealership', 'Manufacturing']","['J.D., 1985, University of South Carolina School of Law', 'B.A., 1982, University of the South']","['North Carolina', 'South Carolina']","['U.S. Court of Appeals for the Fourth Circuit', 'U.S. District Court for the District of South Carolina', 'U.S. District Court for the Eastern District of North Carolina', 'U.S. District Court for the Middle District of North Carolina', 'U.S. District Court for the Western District of North Carolina', 'U.S. Supreme Court']","['Chambers USA, Labor & Employment (2008 – 2023)', 'Recognized in The Best Lawyers in America (2011 – 2021)', 'Listed as a\xa0North Carolina Super Lawyer\xa0']","['President of the Gaston County Personnel Association (Gaston HR)', 'Past Chairman of the Employment and Labor Law Section of the South Carolina Bar', 'Past member of the House of Delegates of the South Carolina Bar', 'Co-Author of the Master and Servant section of South Carolina Jurisprudence', 'Assistant Scoutmaster, Boy Scouts of America', 'President, Gaston County Personnel Association']"
5,Stephanie R. Alexander,"Stephanie Alexander is a partner in the firm's Seattle office who focuses her practice on employment and tort litigation, and employment counseling. She defends both public and private employers in litigation and arbitration for all types of employment related claims on a state and national level, often acting as national employment litigation counsel for clients in other states. She also regularly represents clients before the Equal Employment Opportunity Commission, Human Rights Commission, and other administrative agencies. Stephanie has significant experience in the employment advice field, regularly advising employers on compliance with state and federal employment laws. Additionally, Stephanie provides training and conducts investigations for clients regarding harassment, leave issues, and other personnel matters. She is a frequent speaker at seminars on employment law issues, and for many years, she has been selected as a ""Rising Star"" by the multi state publication, Law & Politics. She has been given the highest rating available for her years of practice by Martindale-Hubbell.  Member of the Washington and Oregon Bar Associations, currently on inactive status.  ","['Employment Discrimination and Harassment', 'Labor Relations', 'Litigation and Trials', 'Reductions in Force (RIFs)']","['Automotive Dealership', 'Manufacturing']","['J.D., 1997, University of Washington School of Law', 'B.A., 1991, highest honors, Montana State University']","['North Carolina', 'South Carolina']","['U.S. Court of Appeals for the Fourth Circuit', 'U.S. District Court for the District of South Carolina', 'U.S. District Court for the Eastern District of North Carolina', 'U.S. District Court for the Middle District of North Carolina', 'U.S. District Court for the Western District of North Carolina', 'U.S. Supreme Court']",['Recognized in The Best Lawyers in America (2021 - 2023)'],['null']
6,Erin Gibson Allen,"Erin Gibson Allen defends businesses in workplace law disputes, advises them on the compliance aspects of a wide range of federal and state employment laws and agency regulations, and counsels on all aspects of their employment relationships. Before joining Fisher Phillips, Erin was a partner at a regional firm where she represented employers in various workplace matters including management training, workplace investigations, strike contingency planning, defense of FLSA claims, and government investigations. She also has experience representing employers in antitrust matters and complex litigation. Erin served as a law clerk in the United States District Court for the Western District of Pennsylvania after earning her law degree from the University of Pittsburgh School of Law, where she was an inaugural member of the Health Law Clinic and served as president of the Pitt Law Women’s Association. Erin regularly speaks on career development, cultivating leadership skills, and board service.  Erin has been interviewed on career development by The New York Times and BBC News and has been a guest speaker at professional events and on various podcasts. In 2011 Erin worked with the Pittsburgh legal community to create a program to offer education, training, and resources for attorneys seeking to re-enter the profession after a career break. Her effort led to the creation of “Back to the Bar,” an initiative run by the Allegheny County Bar Association. She also speaks at various law schools to help students navigate a successful entry to the legal profession.","['Counseling and Advice', 'Labor Relations', 'Litigation and Trials']","['Construction', 'Life Sciences', 'Retail']","['J.D., 1995, University of Pittsburgh School of Law', 'B.A., 1992, University of Rochester', 'Certificate, Cornell University']",['Pennsylvania'],['U.S. District Court for the Western District of Pennsylvania'],['Recognized in\xa0The Best Lawyers in America\xa0(2024)'],"['Library National Council and Co-Chair Leadership Council (Pittsburgh), University of Rochester (2019-Present)', 'American Bar Association, Labor and Employment and Antitrust Sections', 'Chair of The Board of Directors, Women’s Center & Shelter of Greater Pittsburgh (2021-Present)', 'Chairperson, Jack Heinz Society of the Pittsburgh Symphony Orchestra (2018-2022)']"
7,William E. Altman,"William Altman (“Bill"") is the managing partner of the Detroit office. He is a labor, employment and benefits attorney with more than twenty years of experience in advising and representing employers regarding anti-discrimination laws, whistle-blower and retaliation actions, ERISA actions, non-competition agreements, trade secrets, fiduciary duty actions, and class actions. He defends employers in state and federal courts and before state and federal agencies. Bill’s practice includes a particular focus on advising employers in employee benefits matters. In addition to advising employers in such matters, Bill has successfully defended employers in ERISA actions alleging breach of fiduciary duty, discrimination, and denial of benefits, including class actions. He serves as national benefit litigation counsel for a Detroit automaker. He also advises employers regarding their obligations under state and federal employment laws, including employment and separation agreements, employment policies, internal investigations, and compliance with state and federal anti-discrimination, wage and hour, and benefits laws. Bill is a member of the College of Labor and Employment Lawyers, the American Employment Lawyers Association, the Labor and Employment Law Sections of the State Bar of Michigan and the American Bar Association, and the Federal Bar Association. Bill served as a Law Clerk to the Honorable Robert E. DeMascio of the United States District Court for the Eastern District of Michigan.","['Employment Discrimination and Harassment', 'Litigation and Trials', 'Employee Defection and Trade Secrets', 'Employee Benefits and Tax']","['Automotive Dealership', 'Cannabis', 'Manufacturing']","['J.D., 1995, University of Pittsburgh School of Law', 'B.A., 1992, University of Rochester', 'Certificate, Cornell University']",['Pennsylvania'],['U.S. District Court for the Western District of Pennsylvania'],"['Pledger v. FCA US LLC – UAW Pension Agreement,\xa0 (E.D. Mich. October 28, 2020, 2020 WL 6305075)\xa0 (Successfully defended pension plan against claim for pension eligibility and lifetime benefit)', 'Confidential Arbitration proceeding involving national express delivery client,\xa0(May 20, 2020) (Successfully defended company against preliminary injunction to maintain independent service provider agreement)', 'Gordon v. Chrysler Group LLC, (E.D. Mich. Feb.2,\xa0 2018) (Successfully defended company and pension plan against claim for spousal pension benefit)', 'Patterson v. Chrysler Group LLC, 845 F.3d 756 (6th Cir. 2017) (In a case of first impression in the Sixth Circuit Court of Appeals, successfully defended company and pension plan against claim to enforce divorce judgment after the death of a participant)', 'Butler v. FCA US LLC, 6th Cir. Case No. 16-2726 (2017) (Successfully defended company against claims for group accident insurance benefits)', 'Kern v. Chrysler UAW Pension,\xa0 __ Fed. Appx. __, 2013 U.S. App. LEXIS 10596 (6th Cir.2013) (Successfully defended pension plan against claim for widow/widower benefits)', 'Hawk v. Chrysler Group LLC, 2013 WL 149597 (E.D. Mich. 2013) (Successfully defended pension against claim for permanent and total disability benefits)', 'Becker v. Chrysler LLC Healthcare Plan, 691 F.3d 879 (7th Cir. 2012), 2011 WL 2601254 (E.D. Wis. 2011) (Successfully defended welfare plan against claim for healthcare benefits)', 'Pearce v. Chrysler LLC Pension Plan, 2012 WL 750097 (E.D. Mich. 2012) (Successfully defended pension plan against claim for pension benefits)', 'Brooks v. Chrysler Group LLC – UAW Pension Plan, 2012 WL 95267 (E.D. Mich. 2012)\xa0(Successfully defended pension plan against claim for pension benefits)', 'Dean v. DaimlerChrysler Life, Disability and Health Care Benefits Program, 439 Fed. Appx. 265 (4th Cir. 2011) (Successfully defended benefits plan in claim for long term disability benefits)', 'Beauchamp v. DaimlerChrysler Corp., 2011 WL 34897980 (E.D. Mich. 2011) (Successfully defended pension plan against claim for pension benefits)', 'Lilley v. DaimlerChrysler Corporation-UAW Pension Plan, 2010 WL 380833 (S.D. Ill. 2010) (Successfully defended pension plan against claim for pension benefits)', 'Garrett v. Hewitt Associates, 2010 WL 2342496 (N.D. Ohio 2010) (Successfully defended pension plan against claim for survivor spouse pension benefits)', 'Meyer v. DaimlerChrysler Corp., 2009 WL 702817 (E.D. Mo. 2009) (Successfully defended employer against claim for disability benefits)', 'Mitchell v. Oakwood Healthcare,\xa02009 WL 2602439 (E.D. Mich. 2009) (Successfully defended employer against claim for disability benefits)', 'Crawford v. TRW Automotive U.S. LLC,\xa0560 F.3d 607 (6th Cir. 2009) (E.D. Mich. 2007) (Successfully defended employer in class action pension discrimination case under arising out of a plant closure)', 'Hendricks v. Home Depot, Inc., 2006 WL 3422695 (S.D. Ohio 2006) (Successfully defended employer in putative class action involving ERISA claims arising out of workers compensation leaves)', 'In re U.S. Truck Company Holdings, Inc., 341 B.R. 596 (E.D. Mich. 2006) (Successfully represented multi-employer pension plan and trust in case involving “trucking industry” exception to withdrawal liability)', 'Meier v. Green, No. 07-11410, 2007 WL 2909418, 2007 WL 1868999 (E.D. Mich. 2007);\xa0Meier v. Detroit Diesel Corporation, 2006 WL 2089208 (Mich. Ct. App. 2006) \xa0(Successfully defended employer in multiple-count, multiple action litigation by former employee alleging numerous discrimination and other claims.)', 'Detroit Newspaper Agency v. N.L.R.B.,\xa0435 F.3d 302 (D.C. Cir. 2006) (Obtained Court of Appeals holding that NRLB’s order was not supported by substantial evidence where it determined that employee was discharged due to union activity; the NLRB subsequently dismissed the case)', 'Henry v. Northwest Airlines, Inc., 148 Fed.Appx. 410 (6th Cir. 2005) (Obtained summary judgment for employer in race discrimination claim brought by long term employee)', 'Detroit Newspaper Agency v. Schaub, 108 F. Supp. 2d 729 (E.D. Mich. 2000) (Obtained injunctive relief restraining the NLRB from prosecuting unfair labor practice charges against the employer)', 'Hogan v. Petitpren, Inc. Employee Profit Sharing and Pension Plan,\xa092 F. Supp. 2d 612 (E.D. Mich. 2000)\xa0 (Successfully defended employer in case alleging violations of ERISA procedure and failure to provide benefits)', 'NLRB v. Detroit Newspaper Agency, 185 F.3d 602 (6th Cir. 1999) (Obtained first impression ruling that privilege reviews regarding agency subpoenas are the province of the courts, rather than the agencies)']","['J.D., 1995, summa cum laude,\xa0first in class, Michigan State University College of Law', 'B.S., 1991, University of South Carolina', 'Michigan']"
8,Steven P. Alvarado,"Steve Alvarado represents employers in a variety of labor and employment matters. He also has substantial experience representing employers in administrative litigation involving both Cal/OSHA and OSHA. He has advised employers facing willful and serious citations resulting from catastrophic events leading to fatalities with significant penalties. His practice includes investigating significant workplace incidents, managing OSHA inspections, contesting OSHA citations, and defending employers in OSHA enforcement actions. Steve is licensed to practice in California. Steve has litigation experience in a variety of employment-related matters in both state and federal courts, arbitration forums, in addition to experience in state and federal administrative agencies such as the California Division of Labor Standards Enforcement (DLSE), the California Department of Fair Employment and Housing (DFEH), the Equal Employment Opportunity Commission (EEOC) and others. Steve represents and counsels employers on various employment-related matters, including, but not limited to, discrimination, unlawful harassment, wrongful termination, unfair business practices, wage and hour class and PAGA actions and compliance with COVID-19 related laws and regulations. In law school, Steve graduated in the top of his class and was an Articles Editor for the Chapman Law Review. He also served as an extern for the Honorable Andrew J. Guilford of the U.S. District Court, Central District of California in Santa Ana.","['Litigation and Trials', 'Workplace Safety and Catastrophe Management']","['Automotive Dealership', 'Cannabis', 'Manufacturing']","['J.D., 2008, Chapman University School of Law', 'B.A., 2005, California Polytechnic State University']",['California'],"['U.S. District Court for the Central District of California', 'U.S. District Court for the Northern District of California']",['null'],['null']
9,Christopher Alvarez,"Chris Alvarez is a partner in the firm’s Sacramento office. His practice focuses on representing employers in federal and state courts, in all stages of litigation. He also counsels and advises clients on labor and employment law matters.  Prior to joining Fisher Phillips, Chris was in private practice with a law firm representing employers in labor and employment matters. Chris graduated from the University of California Davis School of Law. While in law school, he served as a Senior Notes and Comments Editor for the UC Davis Law Review and was a member of the Trial Honors Board. Prior to attending law school, Chris worked for the California State Legislature as a Senior Legislative Aide, giving him the ability to understand rules, regulations, and requirements that could impact an employer’s operation.","['Data Security and Workplace Privacy', 'Employment Discrimination and Harassment', 'Litigation and Trials']",['Automotive Dealership'],"['J.D., 2013, University of California at Davis School of Law', 'B.S., 2005, California State University, Sacramento']",['California'],"['California Courts of Appeal', 'California Superior Court', 'California Supreme Court', 'U.S. District Court for the Eastern District of California']","['Recognized in The Best Lawyers in America, Ones to Watch (2021 - 2024)', 'Listed in Sacramento Magazine ""Top Lawyers,"" Employment & Labor (2017-2018, 2023)']","['Member, California Bar Association', 'Member, Sacramento County Bar Association', 'Ex Officio Board Member, SCBA Barristers’ Club of Sacramento', 'Board Member, Asian/Pacific Bar Association of Sacramento', '\nAmbassador, Sacramento Asian Chamber of Commerce\n', 'Member, Metro EDGE']"
