pid,practice_area,expertise,language,location
0,Immigration,"border policy, visa, permanent residency, immigration","Chinese",Dallas
1,Corporate,"M&A, Mergers, employment, contract, due diligence, takeover","Spanish",Los Angeles
2,Employment,"Contracts, termination, payroll, NDA","Chinese",Washington
3,Immigration,"border, work visa, citizenship","Italian",Seattle
4,Family Law,"Divorce, child custody, alimony","English",New York
5,Real Estate,"Property management, leasing, acquisitions, transactions","French",Miami
6,Criminal Law,"Assault, theft, homicide, DUI","Japanese",Chicago
7,Intellectual Property,"Patent, copyright, trademark, IP litigation","Japanese",San Francisco
8,Healthcare,"Medical malpractice, insurance, regulations, compliance","Korean",Washington
9,Tax Law,"Tax planning, audit defense, international taxation","Spanish",Los Angeles
10,Intellectual Property,"Trademark, trade secret, IP enforcement","Arabic",Washington
11,Family Law,"Adoption, surrogacy, guardianship","English",Dallas
12,Real Estate,"Construction, zoning, property disputes","Hindi",Seattle
13,Criminal Law,"White-collar crime, fraud, embezzlement","French",New York
14,Employment,"Discrimination, harassment, workplace safety","Chinese",Miami
15,Immigration,"Asylum, deportation, refugee status","Korean",Los Angeles
16,Corporate,"Corporate governance, compliance, securities","Japanese",San Francisco
17,Tax Law,"Estate planning, tax litigation, wealth management","Spanish",Chicago
18,Healthcare,"Healthcare regulation, FDA compliance, telemedicine","Italian",Miami
19,Real Estate,"Landlord-tenant disputes, evictions, leasing agreements","Chinese",Dallas
20,Intellectual Property,"Licensing, technology transfer, IP portfolio management","French",New York
21,Criminal Law,"Criminal defense, probation violation, appeals","Spanish",Seattle
22,Family Law,"Spousal support, domestic violence, prenuptial agreements","English",San Francisco
23,Employment,"Whistleblower claims, severance negotiation, labor disputes","Japanese",Washington
24,Healthcare,"Medical billing, HIPAA compliance, healthcare contracts","Korean",Chicago
25,Corporate,"Venture capital, corporate restructuring, private equity","Chinese",Los Angeles
26,Real Estate,"Commercial leases, real estate finance, property development","Hindi",Miami
27,Tax Law,"Transfer pricing, international tax planning, tax-exempt organizations","French",Dallas
28,Intellectual Property,"Copyright infringement, IP due diligence, IP licensing","Arabic",New York
29,Employment,"Employee benefits, non-compete agreements, workplace investigations","Spanish",Seattle
30,Immigration,"Green card, naturalization, asylum appeals","Korean",San Francisco
31,Corporate,"Commercial contracts, shareholder agreements, business formation","Japanese",Chicago
32,Criminal Law,"Probation violation, asset forfeiture, juvenile offenses","Italian",Miami
33,Family Law,"Child support, paternity disputes, same-sex marriage issues","Chinese",Dallas
34,Real Estate,"Eminent domain, real estate investment trusts, title examination","French",New York
35,Healthcare,"Telehealth regulations, medical ethics, healthcare licensing","Hindi",Seattle
36,Tax Law,"Sales tax, property tax, international tax compliance","Spanish",Los Angeles
37,Intellectual Property,"Design patents, IP audits, IP valuation","Arabic",San Francisco
38,Employment,"Severance agreements, workplace discrimination, labor contracts","Japanese",Washington
39,Immigration,"Deportation defense, immigration appeals, immigration waivers","Korean",Chicago
40,Corporate,"Cross-border transactions, corporate finance, corporate governance","Chinese",Miami
41,Real Estate,"Foreclosures, real estate arbitration, real estate tax planning","Hindi",Dallas
42,Criminal Law,"Capital offenses, criminal appeals, criminal fraud","French",New York
43,Family Law,"Guardianship, child protection, family mediation","Chinese",Seattle
44,Healthcare,"Healthcare privacy laws, healthcare contracts, healthcare compliance","Korean",Los Angeles
45,Tax Law,"Tax evasion, tax fraud, tax shelters","Spanish",San Francisco
46,Intellectual Property,"IP dispute resolution, IP arbitration, IP mediation","Arabic",Chicago
47,Employment,"Employment contracts, workplace safety regulations, severance packages","Japanese",Miami
48,Immigration,"Refugee law, immigration policy, asylum law","Korean",Dallas
49,Corporate,"Corporate litigation, corporate compliance, corporate investigations","Chinese",New York
50,Real Estate,"Property titles, real estate planning, real estate sales","Hindi",Seattle
51,Criminal Law,"Criminal justice, criminal defense appeals, criminal negligence","French",Los Angeles
52,Family Law,"Domestic partnerships, child abduction, family arbitration","Chinese",San Francisco
53,Healthcare,"Medicare regulations, healthcare ethics, healthcare licensing","Korean",Washington
54,Tax Law,"Tax treaties, international tax disputes, corporate tax planning","Spanish",Chicago
55,Intellectual Property,"IP licensing agreements, IP due diligence, IP management","Arabic",Miami
56,Employment,"Employment discrimination, labor union negotiations, workplace harassment","Japanese",Dallas
57,Immigration,"Deportation proceedings, immigration amnesty, immigration petitions","Korean",New York
58,Corporate,"Corporate risk management, corporate governance, corporate strategy","Chinese",Seattle
